モンスター名,No,他国,所持,入手方法,配合1,配合2,配合3,配合4
スライムジェネラル,465,,T,,メタルカイザー,メタルカイザー,,
メカバーン,466,,T,きぼうの扉,メタルドラゴン,アンドレアル,,
ロック鳥,467,,T,ちいさなメダル報酬で入手,カプリゴン,ブラックドラゴン,,
ドン・モグーラ,468,,T,,いたずらもぐら,いたずらもぐら,おにこんぼう,おにこんぼう
デュラン,469,,T,,炎の戦士,ブリザードマン,,
ベリアル,470,,T,,アークデーモン,グレイトドラゴン,,
ヒヒュルデの使い,471,,T,,キラーエイプ,ポンポコあにき,,
デュラハーン,472,,T,孵化で入手,死神きぞく,なげきのぼうれい,,
ジャミ,473,,,,死神きぞく,シュプリンガー,,
マリンデュエル,474,入手可,T,孵化で入手,,,,
どぐう戦士,475,,T,とこやみの扉,ミステリドール,ミステリドール,ミステリドール,ミステリドール
バズズ,476,,,,シルバーデビル,アンドレアル,,
スカルスパイダー,477,,T,,タイラントワーム,なげきのぼうれい,,
メタルキング,478,,T,きぼうの扉,はぐれメタル,はぐれメタル,はぐれメタル,はぐれメタル
イブール,479,,T,,なげきのぼうれい,アンドレアル,,
タウラス,480,,T,うらみの扉,バッファロン,ギガンテス,,
カプリゴン,481,,,らいうんの扉,ガルーダ,,,
ゲマ,482,入手可,T,孵化で入手,イデアラゴン,シュプリンガー,,
ヘルクラウド,483,,T,まよいの扉-黄金郷-,,,,
大王イカ,484,,T,孵化で入手,ワニバーン,ギガミュータント,,
ゾーマズデビル,485,,,孵化で入手,,,,
プチターク,486,,T,孵化で入手,,,,
ミルドラース,487,,T,,黒竜丸,がいこつけんし,,
デスタムーア,488,,T,,アクバー,サンダーバード,,
オルゴ・デミーラ,489,,T,,コスモファントム,ユニコーン,,
スペディオ,490,,T,孵化で入手,スペディオ,ズッキーニャ,,
ウィンデオ,491,,T,孵化で入手,,,,
ガルハート,492,,,孵化で入手,スペディオ,おおめだま,,
フレイシャ,493,,T,孵化で入手,,,,
グラブゾン,494,,,孵化で入手,スペディオ,おばけキャンドル,,
アックル,495,,T,孵化で入手,,,,
ディアノーグ,496,,,孵化で入手,スペディオ,ももんじゃ,,
ガオガイヤ,497,,T,孵化で入手,,,,
長老ピピット,498,,,,グランスライム,ティコ,,
ゴレオン将軍,499,,,,モヒカント,ゴンズ,,
ゲルニック将軍,500,,,,ジャミラス,ジャミ,,
ギュメイ将軍,501,,T,,キラーパンサー,ゲマ,,
